alert     adj.警惕的,机警的n.警报
alias     n.化名,别名
alibi     n.某人当时不在犯罪现场的申辩或证明;借口
alienate     v.疏远,离间某人
alight     adj.烧着,点着v.(从马上或车上)下来
align     v.将某物排列在一条直线上;与某人结盟
alimentary     adj.饮食的,营养的
alkali     n.碱
allay     v.减轻,缓和
all-consuming adj.消耗一切的
allege     v.(无证据)陈述,宣称
allegiance     n.忠诚,拥护
allegory     n.寓言
allergy     n.过敏症;厌恶
allergic     n.过敏的,对...讨厌的
alleviate     v.缓和,减轻
alley     n.小巷,小径
alliteration     n.头韵
allocate     v.配给,分配
allopathy     n.(医)对抗疗法
allowance     n.津贴,补助;承认,允许
alloy     n.合金v.混合
allude     v.间接提到,暗指
allure     v.引诱n.诱惑力
alluring     adj.吸引人的,迷人的
alluvial     adj.冲积的
ally     n.盟国,支持者
almond     n.杏树,杏仁
alms     n.施舍物,救济品
aloft     adv.在空中,在头顶上
aloof     adj.冷淡的,疏远的
alphabetical     adj.按字母表顺序的
alter     v.改变,更改
alternative     adj.代替其他事物的n.可能的选择
altercation     n.争吵,争论
altitude     n.海拔,高度
altruism     n.利他主义;不自私
aluminium     n.铝
amalgam     n.混合物
amalgamate     v.合并;混合
amass     v.积聚
amateurish     adj.业余爱好的,不熟练的
ambidextrous     adj.十分灵巧的
ambience     n.环境,气氛
ambiguous     adj.含糊的
ambivalent     adj.(对人或物)有矛盾看法的
amble     n.|v.漫步,缓行
ambrosia     n.美食,神的食物
ambulatory     adj.(适宜于)步行的
ameliorate     v.改善,改良
amenable     adj.愿服从的,通情达理的
amendment     n.改正,修正;法律修正案
amenity     n.带来愉快的设施;适意
amethyst     n.紫水晶
amiable     a.和蔼的,亲切的
amicable     adj.友好的
amity     n.(人或国之间的)友好关系
amnesia     n.健忘症
amnesty     n.大赦,特赦
amoral     a.与道德无关的
amorous     adj.有性欲的;情爱的
amorphous     adj.无定形的
amortize     v.分期偿还
amphibian     n.两栖动物;水陆两用飞行器
ample     adj.富足的,充足的
amplify     v.放大;详述
amplitude     n.广大,广阔
amputate     v.截肢
amulet     n.护身符
amuse     v.逗某人笑
anachronism     n.年代错误;落伍之物
anachronistic     adj.时代错误的,落伍过时的
anaerobic     adj.厌氧的n.厌氧微生物
anagram     n.变形词
analgesic     n.镇痛剂adj.止痛的
analogue     n.类似物,相似体
analogy     n.相似;类比
analysis     n.分析
anarchist     n.无政府主义者
anarchy     n.无政府;政治上的混乱
anathema     n.诅咒
anatomical     adj.解剖学的
ancestor     n.祖先,祖宗
anchorite     n.隐士
ancillary     adj.辅助的n.助手
anecdote     n.短故事;轶事
anemia     n.贫血,贫血症
anesthetic     n.麻醉剂,a.麻醉的
anguish     n.极大痛苦
angular     adj.有角的;(指人)瘦削的
anhydrous     adj.无水的
animate     adj.活的,有生命的v.赋予生命
ankle     n.脚踝
animosity     n.憎恶,仇恨
animus     n.敌意,憎恨
annals     n.编年史
annexation     n.并吞,合并
annihilate     v.消灭
annotate     v.注解
announce     v.宣布,发表;通报...的到来
annoy     v.惹恼;打搅,骚扰
annoying     adj.使人颇为生气的
annul     v.宣告无效;取消
anodyne     n.止痛药
anomaly     n.异常,反常
anonymous     adj.匿名的
anorexia     n.厌食症
antagonize     v.使对抗;与...对抗
Antarctic     adj.南极的
antecedence     n.居先,优先
antecedent     n.前事;先行词
antedate     v.(在信、文件上)写上较早日期;早于
antediluvian     adj.史前的;陈旧的
antenna     n.触角,天线
anterior     adj.较早的,以前的
anthem     n.圣歌;赞美歌
anthology     n.诗集,文选
anthropoid     adj.像人类的n.类人猿
anthropology     n.人类学
antibiotic     n.抗生素adj.抗菌的
